sensor_id;sensor_type;location;lat;lon;timestamp;value_type;value
144;SDS011;3528;-0.286;36.067;2022-11-25T10:30:30.198141+00:00;P1;10
144;SDS011;3528;-0.286;36.067;2022-11-25T10:31:29.235997+00:00;P2;2
144;SDS011;3528;-0.286;36.067;2022-11-25T10:31:29.235997+00:00;P1;8
145;DHT22;3528;-0.286;36.067;2022-11-25T10:31:29.251561+00:00;humidity;61
145;DHT22;3528;-0.286;36.067;2022-11-25T10:31:29.251561+00:00;temperature;31
144;SDS011;3528;-0.286;36.067;2022-11-25T10:31:48.545559+00:00;P2;3
144;SDS011;3528;-0.286;36.067;2022-11-25T10:31:48.545559+00:00;P1;6
145;DHT22;3528;-0.286;36.067;2022-11-25T10:31:48.545878+00:00;humidity;67
145;DHT22;3528;-0.286;36.067;2022-11-25T10:31:48.545878+00:00;temperature;31
145;DHT22;3528;-0.286;36.067;2022-11-25T10:32:29.493954+00:00;humidity;61
145;DHT22;3528;-0.286;36.067;2022-11-25T10:32:29.493954+00:00;temperature;31
144;SDS011;3528;-0.286;36.067;2022-11-25T10:32:29.497498+00:00;P2;2
144;SDS011;3528;-0.286;36.067;2022-11-25T10:32:29.497498+00:00;P1;8
144;SDS011;3528;-0.286;36.067;2022-11-25T10:33:09.033434+00:00;P2;10
144;SDS011;3528;-0.286;36.067;2022-11-25T10:33:09.033434+00:00;P1;21
145;DHT22;3528;-0.286;36.067;2022-11-25T10:34:08.631373+00:00;humidity;64
145;DHT22;3528;-0.286;36.067;2022-11-25T10:34:08.631373+00:00;temperature;30
144;SDS011;3528;-0.286;36.067;2022-11-25T10:34:08.633586+00:00;P2;3
144;SDS011;3528;-0.286;36.067;2022-11-25T10:34:08.633586+00:00;P1;21
145;DHT22;3528;-0.286;36.067;2022-11-25T10:34:29.735328+00:00;humidity;61
145;DHT22;3528;-0.286;36.067;2022-11-25T10:34:29.735328+00:00;temperature;31
144;SDS011;3528;-0.286;36.067;2022-11-25T10:34:29.736204+00:00;P2;2
144;SDS011;3528;-0.286;36.067;2022-11-25T10:34:29.736204+00:00;P1;8
145;DHT22;3528;-0.286;36.067;2022-11-25T10:35:08.847399+00:00;humidity;64
145;DHT22;3528;-0.286;36.067;2022-11-25T10:35:08.847399+00:00;temperature;30
144;SDS011;3528;-0.286;36.067;2022-11-25T10:35:08.863398+00:00;P2;3
144;SDS011;3528;-0.286;36.067;2022-11-25T10:35:08.863398+00:00;P1;21
145;DHT22;3528;-0.286;36.067;2022-11-25T10:35:48.739097+00:00;humidity;67
145;DHT22;3528;-0.286;36.067;2022-11-25T10:35:48.739097+00:00;temperature;31
144;SDS011;3528;-0.286;36.067;2022-11-25T10:35:48.743690+00:00;P2;3
144;SDS011;3528;-0.286;36.067;2022-11-25T10:35:48.743690+00:00;P1;6
145;DHT22;3528;-0.286;36.067;2022-11-25T10:36:48.111139+00:00;humidity;64
145;DHT22;3528;-0.286;36.067;2022-11-25T10:36:48.111139+00:00;temperature;31
144;SDS011;3528;-0.286;36.067;2022-11-25T10:36:48.111895+00:00;P2;2
144;SDS011;3528;-0.286;36.067;2022-11-25T10:36:48.111895+00:00;P1;3
145;DHT22;3528;-0.286;36.067;2022-11-25T10:37:09.106595+00:00;humidity;64
145;DHT22;3528;-0.286;36.067;2022-11-25T10:37:09.106595+00:00;temperature;30
144;SDS011;3528;-0.286;36.067;2022-11-25T10:37:09.108997+00:00;P2;3
144;SDS011;3528;-0.286;36.067;2022-11-25T10:37:09.108997+00:00;P1;21
144;SDS011;3528;-0.286;36.067;2022-11-25T10:37:48.367016+00:00;P2;2
144;SDS011;3528;-0.286;36.067;2022-11-25T10:37:48.367016+00:00;P1;3
145;DHT22;3528;-0.286;36.067;2022-11-25T10:37:49.332816+00:00;humidity;64
145;DHT22;3528;-0.286;36.067;2022-11-25T10:37:49.332816+00:00;temperature;31
145;DHT22;3528;-0.286;36.067;2022-11-25T10:38:29.955342+00:00;humidity;61
145;DHT22;3528;-0.286;36.067;2022-11-25T10:38:29.955342+00:00;temperature;31
144;SDS011;3528;-0.286;36.067;2022-11-25T10:38:29.957639+00:00;P2;2
144;SDS011;3528;-0.286;36.067;2022-11-25T10:38:29.957639+00:00;P1;8
144;SDS011;3528;-0.286;36.067;2022-11-25T10:39:28.309953+00:00;P2;2
144;SDS011;3528;-0.286;36.067;2022-11-25T10:39:28.309953+00:00;P1;2
145;DHT22;3528;-0.286;36.067;2022-11-25T10:39:28.329121+00:00;humidity;66
145;DHT22;3528;-0.286;36.067;2022-11-25T10:39:28.329121+00:00;temperature;30
145;DHT22;3528;-0.286;36.067;2022-11-25T10:39:49.572175+00:00;humidity;64
145;DHT22;3528;-0.286;36.067;2022-11-25T10:39:49.572175+00:00;temperature;31
144;SDS011;3528;-0.286;36.067;2022-11-25T10:40:28.517182+00:00;P2;2
144;SDS011;3528;-0.286;36.067;2022-11-25T10:40:28.517182+00:00;P1;2
145;DHT22;3528;-0.286;36.067;2022-11-25T10:40:28.521052+00:00;humidity;66
145;DHT22;3528;-0.286;36.067;2022-11-25T10:40:28.521052+00:00;temperature;30
145;DHT22;3528;-0.286;36.067;2022-11-25T10:41:09.657724+00:00;humidity;64
145;DHT22;3528;-0.286;36.067;2022-11-25T10:41:09.657724+00:00;temperature;30
144;SDS011;3528;-0.286;36.067;2022-11-25T10:41:09.676314+00:00;P2;3
144;SDS011;3528;-0.286;36.067;2022-11-25T10:41:09.676314+00:00;P1;21
145;DHT22;3528;-0.286;36.067;2022-11-25T10:42:08.963206+00:00;humidity;63
145;DHT22;3528;-0.286;36.067;2022-11-25T10:42:08.963206+00:00;temperature;30
144;SDS011;3528;-0.286;36.067;2022-11-25T10:42:08.966168+00:00;P2;2
144;SDS011;3528;-0.286;36.067;2022-11-25T10:42:08.966168+00:00;P1;10
145;DHT22;3528;-0.286;36.067;2022-11-25T10:42:28.735978+00:00;humidity;66
145;DHT22;3528;-0.286;36.067;2022-11-25T10:42:28.735978+00:00;temperature;30
144;SDS011;3528;-0.286;36.067;2022-11-25T10:42:28.737192+00:00;P2;2
144;SDS011;3528;-0.286;36.067;2022-11-25T10:42:28.737192+00:00;P1;2
145;DHT22;3528;-0.286;36.067;2022-11-25T10:43:09.475058+00:00;humidity;63
145;DHT22;3528;-0.286;36.067;2022-11-25T10:43:09.475058+00:00;temperature;30
144;SDS011;3528;-0.286;36.067;2022-11-25T10:43:09.492917+00:00;P2;2
144;SDS011;3528;-0.286;36.067;2022-11-25T10:43:09.492917+00:00;P1;10
145;DHT22;3528;-0.286;36.067;2022-11-25T10:43:49.814618+00:00;humidity;64
145;DHT22;3528;-0.286;36.067;2022-11-25T10:43:49.814618+00:00;temperature;31
145;DHT22;3528;-0.286;36.067;2022-11-25T10:44:49.310133+00:00;humidity;63
145;DHT22;3528;-0.286;36.067;2022-11-25T10:44:49.310133+00:00;temperature;31
144;SDS011;3528;-0.286;36.067;2022-11-25T10:44:49.311666+00:00;P2;2
144;SDS011;3528;-0.286;36.067;2022-11-25T10:44:49.311666+00:00;P1;2
145;DHT22;3528;-0.286;36.067;2022-11-25T10:45:09.681738+00:00;humidity;63
145;DHT22;3528;-0.286;36.067;2022-11-25T10:45:09.681738+00:00;temperature;30
144;SDS011;3528;-0.286;36.067;2022-11-25T10:45:09.684608+00:00;P2;2
144;SDS011;3528;-0.286;36.067;2022-11-25T10:45:09.684608+00:00;P1;10
145;DHT22;3528;-0.286;36.067;2022-11-25T10:45:49.756125+00:00;humidity;63
145;DHT22;3528;-0.286;36.067;2022-11-25T10:45:49.756125+00:00;temperature;31
144;SDS011;3528;-0.286;36.067;2022-11-25T10:45:49.759771+00:00;P2;2
144;SDS011;3528;-0.286;36.067;2022-11-25T10:45:49.759771+00:00;P1;2
144;SDS011;3528;-0.286;36.067;2022-11-25T10:46:28.963183+00:00;P2;2
144;SDS011;3528;-0.286;36.067;2022-11-25T10:46:28.963183+00:00;P1;2
145;DHT22;3528;-0.286;36.067;2022-11-25T10:46:28.965594+00:00;humidity;66
145;DHT22;3528;-0.286;36.067;2022-11-25T10:46:28.965594+00:00;temperature;30
144;SDS011;3528;-0.286;36.067;2022-11-25T10:47:29.591413+00:00;P2;3
144;SDS011;3528;-0.286;36.067;2022-11-25T10:47:29.591413+00:00;P1;3
145;DHT22;3528;-0.286;36.067;2022-11-25T10:47:29.604136+00:00;humidity;62
145;DHT22;3528;-0.286;36.067;2022-11-25T10:47:29.604136+00:00;temperature;30
145;DHT22;3528;-0.286;36.067;2022-11-25T10:47:49.991938+00:00;humidity;63
145;DHT22;3528;-0.286;36.067;2022-11-25T10:47:49.991938+00:00;temperature;31
144;SDS011;3528;-0.286;36.067;2022-11-25T10:47:50.006953+00:00;P2;2
144;SDS011;3528;-0.286;36.067;2022-11-25T10:47:50.006953+00:00;P1;2
144;SDS011;3528;-0.286;36.067;2022-11-25T10:48:29.824347+00:00;P2;3
144;SDS011;3528;-0.286;36.067;2022-11-25T10:48:29.824347+00:00;P1;3
144;SDS011;3528;-0.286;36.067;2022-11-25T10:49:09.906046+00:00;P2;2
144;SDS011;3528;-0.286;36.067;2022-11-25T10:49:09.906046+00:00;P1;10
145;DHT22;3528;-0.286;36.067;2022-11-25T10:49:09.906717+00:00;humidity;63
145;DHT22;3528;-0.286;36.067;2022-11-25T10:49:09.906717+00:00;temperature;30
144;SDS011;3528;-0.286;36.067;2022-11-25T10:50:09.530341+00:00;P2;3
144;SDS011;3528;-0.286;36.067;2022-11-25T10:50:09.530341+00:00;P1;7
145;DHT22;3528;-0.286;36.067;2022-11-25T10:50:09.531145+00:00;humidity;64
145;DHT22;3528;-0.286;36.067;2022-11-25T10:50:09.531145+00:00;temperature;30
